nombre,descripcion,precio,stock,umbral_minimo,umbral_maximo,modelo,id_categoria,imagen,visible
Samsung Galaxy A14,Smartphone con pantalla FHD+ y batería de larga duración,1299,18,5,25,Samsung Galaxy A14,1,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Cargador Samsung A14 original,Cargador rápido compatible con Samsung Galaxy A14,89,20,5,30,Samsung Galaxy A14,2,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Audífonos Samsung A14 estéreo,Audífonos con micrófono compatibles con Samsung Galaxy A14,59,25,6,40,Samsung Galaxy A14,3,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Funda Samsung A14 reforzada,Funda protectora reforzada para Samsung Galaxy A14,45,35,8,50,Samsung Galaxy A14,4,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Vidrio templado Samsung A14 9H,Protector de pantalla 9H para Samsung Galaxy A14,25,50,10,100,Samsung Galaxy A14,7,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Soporte magnético Samsung A14,Soporte de auto magnético para Samsung Galaxy A14,35,18,4,25,Samsung Galaxy A14,9,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Accesorio multicompatible Samsung A14,Accesorio multifunción compatible con Samsung Galaxy A14,39,20,5,30,Samsung Galaxy A14,5,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Samsung Galaxy A54,Celular de gama media con cámara triple y pantalla Super AMOLED,1899,15,5,25,Samsung Galaxy A54,1,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Cargador Samsung A54 original,Cargador rápido compatible con Samsung Galaxy A54,89,20,5,30,Samsung Galaxy A54,2,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Audífonos Samsung A54 estéreo,Audífonos con micrófono compatibles con Samsung Galaxy A54,59,25,6,40,Samsung Galaxy A54,3,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Funda Samsung A54 reforzada,Funda protectora reforzada para Samsung Galaxy A54,45,35,8,50,Samsung Galaxy A54,4,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Vidrio templado Samsung A54 9H,Protector de pantalla 9H para Samsung Galaxy A54,25,50,10,100,Samsung Galaxy A54,7,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Soporte magnético Samsung A54,Soporte de auto magnético para Samsung Galaxy A54,35,18,4,25,Samsung Galaxy A54,9,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Accesorio multicompatible Samsung A54,Accesorio multifunción compatible con Samsung Galaxy A54,39,20,5,30,Samsung Galaxy A54,5,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Xiaomi Redmi Note 12,Teléfono con procesador Snapdragon y carga rápida 33W,1090,15,5,25,Xiaomi Redmi Note 12,1,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Cargador Xiaomi 12 original,Cargador rápido compatible con Xiaomi Redmi Note 12,89,20,5,30,Xiaomi Redmi Note 12,2,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Audífonos Xiaomi 12 estéreo,Audífonos con micrófono compatibles con Xiaomi Redmi Note 12,59,25,6,40,Xiaomi Redmi Note 12,3,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Funda Xiaomi 12 reforzada,Funda protectora reforzada para Xiaomi Redmi Note 12,45,35,8,50,Xiaomi Redmi Note 12,4,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Vidrio templado Xiaomi 12 9H,Protector de pantalla 9H para Xiaomi Redmi Note 12,25,50,10,100,Xiaomi Redmi Note 12,7,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
Soporte magnético Xiaomi 12,Soporte de auto magnético para Xiaomi Redmi Note 12,35,18,4,25,Xiaomi Redmi Note 12,9,https://dummyimage.com/300x300/cccccc/000000&text=Smart+Cart,TRUE
